<<<<<<< HEAD
encoded_language,average_rating,ratings_count,text_reviews_count
5,4.57,2095690,27591
5,4.49,2153167,29221
5,4.42,6333,244
5,4.56,2339585,36325
5,4.78,41428,164
4,3.74,19,1
5,4.73,28242,808
5,4.38,3628,254
5,4.38,249558,4080
5,4.22,4930,460
5,4.22,1266,253
5,4.38,2877,195
5,4.21,248558,9396
5,3.44,7270,499
5,3.87,2088,131
5,4.07,72451,4245
5,3.9,49240,2211
5,3.83,45712,2257
5,3.86,48701,2238
5,3.91,80609,3301
5,3.93,28489,2085
5,4.59,101233,1550
5,4.5,1710,91
5,4.36,2128944,13670
4,4.5,1618,140
5,4.53,19822,46
5,4.5,359,6
5,3.84,1430,59
5,3.72,270244,12017
5,4.0,36,2
5,3.88,2067,334
5,4.33,6,0
4,3.45,99,16
5,3.76,167,4
5,3.6,978,111
5,4.06,4454,302
5,4.17,1176,96
5,3.55,301,43
5,3.98,345,12
5,3.83,29686,2626
4,3.83,55,12
5,3.83,22,3
5,3.83,1456,82
5,4.13,52,4
5,4.42,562,37
4,3.95,1630,203
5,4.17,268,22
4,4.24,3498,305
5,4.34,3115,228
5,4.22,5704,261
7,3.92,698,52
5,4.23,542,36
5,4.23,1341,98
5,3.75,1423,70
5,3.84,2766,64
5,3.94,31,1
4,3.77,62,4
5,4.46,860,53
4,3.68,77,2
5,3.99,153317,2257
5,3.25,55,5
5,4.46,34,6
5,3.89,11797,659
5,3.82,34,8
4,3.78,78,4
5,3.84,2785,166
5,3.91,38778,568
5,3.88,97494,2359
4,4.01,784,21
5,3.86,272,20
5,3.88,4789,83
5,3.86,45388,644
5,4.59,26153,102
5,4.35,69167,4551
5,4.35,45,13
4,4.28,16,1
5,3.34,174,16
5,3.67,10,0
5,3.48,76,9
5,3.5,111,9
5,3.62,24,0
5,3.55,55,4
5,4.27,9,0
4,3.39,22,1
4,3.89,17,3
5,3.84,166,4
5,4.12,50,5
5,4.08,13,2
5,3.48,64,1
5,4.05,16643,1851
5,4.05,109420,5696
5,4.05,2904,309
5,3.85,16,3
5,4.05,9564,726
5,4.05,474,72
5,4.05,303,48
5,2.99,411,65
5,4.19,1204,33
5,3.71,3429,279
5,3.95,2163,216
5,3.89,613,31
4,3.82,308,40
5,4.2,10,0
5,3.65,16,4
5,3.4,10,0
5,4.0,17,0
5,4.01,1035,23
5,4.0,36,6
5,3.6,15,0
21,4.0,6,1
5,4.12,376,17
5,4.11,3086,237
4,3.94,352,44
5,3.6,9852,633
5,3.9,821,78
5,4.05,731,72
5,3.94,2897,178
